captured_at,source_timestamp,product,bid,ask,mid
2026-05-05T20:20:44.493969,2026-05-05T20:20:37.231913+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:45.701671,2026-05-05T20:20:37.231913+01:00,gbp,1.35465,1.35475,1.3546999999999998
2026-05-05T20:20:46.937777,2026-05-05T20:20:46.482613+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:48.078260,2026-05-05T20:20:46.482613+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:49.296397,2026-05-05T20:20:46.482613+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:50.450026,2026-05-05T20:20:46.482613+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:51.663393,2026-05-05T20:20:46.482613+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:52.878034,2026-05-05T20:20:46.482613+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:54.077694,2026-05-05T20:20:46.482613+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:55.262294,2026-05-05T20:20:55.093638+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:56.534179,2026-05-05T20:20:55.093638+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:57.829469,2026-05-05T20:20:55.093638+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:20:59.036008,2026-05-05T20:20:55.093638+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:00.221913,2026-05-05T20:20:55.093638+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:01.365882,2026-05-05T20:20:55.093638+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:02.546431,2026-05-05T20:20:55.093638+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:03.709515,2026-05-05T20:20:55.093638+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:04.853805,2026-05-05T20:21:04.298109+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:06.101988,2026-05-05T20:21:04.298109+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:07.249195,2026-05-05T20:21:04.298109+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:08.393091,2026-05-05T20:21:04.298109+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:09.554663,2026-05-05T20:21:04.298109+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:10.786667,2026-05-05T20:21:04.298109+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:12.009097,2026-05-05T20:21:04.298109+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:13.194003,2026-05-05T20:21:12.932126+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:14.383086,2026-05-05T20:21:12.932126+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:15.627350,2026-05-05T20:21:12.932126+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:16.794893,2026-05-05T20:21:12.932126+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:18.016167,2026-05-05T20:21:12.932126+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:19.201885,2026-05-05T20:21:12.932126+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:20.608385,2026-05-05T20:21:12.932126+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:21.960958,2026-05-05T20:21:12.932126+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:23.258772,2026-05-05T20:21:22.089261+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:24.547341,2026-05-05T20:21:22.089261+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:25.835083,2026-05-05T20:21:22.089261+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:27.113822,2026-05-05T20:21:22.089261+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:28.506910,2026-05-05T20:21:22.089261+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:29.741209,2026-05-05T20:21:22.089261+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:31.044819,2026-05-05T20:21:30.738460+01:00,gbp,1.35465,1.3547,1.3546749999999999
2026-05-05T20:21:32.341612,2026-05-05T20:21:30.738460+01:00,gbp,1.35465,1.3547,1.3546749999999999
