open_hour,gap_threshold,date,timestamp,from_product,from_strategy,to_product,to_strategy,new_rank1_count_cum,held_rank1_count_cum,count_gap,bucket
0,75,2026-04-01,2026-04-01 08:45:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,86,10,76,50+
0,75,2026-04-06,2026-04-06 12:30:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,113,37,76,50+
0,100,2026-04-01,2026-04-01 10:50:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,111,10,101,50+
0,100,2026-04-06,2026-04-06 14:35:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,138,37,101,50+
1,0,2026-03-26,2026-03-26 13:20:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,14,13,1,10-15
1,0,2026-03-31,2026-03-31 19:05:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,99,98,1,50+
1,0,2026-04-01,2026-04-01 02:30:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,11,10,1,10-15
1,0,2026-04-06,2026-04-06 06:15:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,38,37,1,35-40
1,0,2026-04-09,2026-04-09 18:35:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,9,3,6,5-10
1,0,2026-04-17,2026-04-17 01:20:00,EURNZD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,3,2,1,0-5
1,0,2026-04-17,2026-04-17 02:55:00,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,NZDAUD_C,breakout_R_2_tp5.0_sl3.0,9,8,1,5-10
1,0,2026-04-17,2026-04-17 03:25:00,NZDAUD_C,breakout_R_2_tp5.0_sl3.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,12,11,1,10-15
1,5,2026-03-26,2026-03-26 13:45:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,19,13,6,15-20
1,5,2026-03-31,2026-03-31 19:30:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,104,98,6,50+
1,5,2026-04-01,2026-04-01 02:55:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,16,10,6,15-20
1,5,2026-04-06,2026-04-06 06:40:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,43,37,6,40-45
1,5,2026-04-09,2026-04-09 18:35:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,9,3,6,5-10
1,5,2026-04-17,2026-04-17 01:45:00,EURNZD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,8,2,6,5-10
1,10,2026-03-26,2026-03-26 14:10:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,24,13,11,20-25
1,10,2026-03-31,2026-03-31 19:55:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,109,98,11,50+
1,10,2026-04-01,2026-04-01 03:20:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,21,10,11,20-25
1,10,2026-04-06,2026-04-06 07:05:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,48,37,11,45-50
1,10,2026-04-09,2026-04-09 19:00:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,14,3,11,10-15
1,10,2026-04-17,2026-04-17 03:30:00,EURNZD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,13,2,11,10-15
1,15,2026-03-26,2026-03-26 14:35:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,29,13,16,25-30
1,15,2026-03-31,2026-03-31 20:20:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,114,98,16,50+
1,15,2026-04-01,2026-04-01 03:45:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,26,10,16,25-30
1,15,2026-04-06,2026-04-06 07:30:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,53,37,16,50+
1,15,2026-04-17,2026-04-17 03:55:00,EURNZD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,18,2,16,15-20
1,20,2026-03-26,2026-03-26 15:00:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,34,13,21,30-35
1,20,2026-03-31,2026-03-31 20:45:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,119,98,21,50+
1,20,2026-04-01,2026-04-01 04:10:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,31,10,21,30-35
1,20,2026-04-06,2026-04-06 07:55:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,58,37,21,50+
1,20,2026-04-17,2026-04-17 04:20:00,EURNZD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,23,2,21,20-25
1,25,2026-03-26,2026-03-26 15:25:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,39,13,26,35-40
1,25,2026-04-01,2026-04-01 04:35:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,36,10,26,35-40
1,25,2026-04-06,2026-04-06 08:20:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,63,37,26,50+
1,25,2026-04-17,2026-04-17 04:45:00,EURNZD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,28,2,26,25-30
1,50,2026-03-26,2026-03-26 17:30:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,64,13,51,50+
1,50,2026-04-01,2026-04-01 06:40:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,61,10,51,50+
1,50,2026-04-06,2026-04-06 10:25:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,88,37,51,50+
1,50,2026-04-17,2026-04-17 06:50:00,EURNZD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,53,2,51,50+
1,75,2026-03-26,2026-03-26 19:35:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,89,13,76,50+
1,75,2026-04-01,2026-04-01 08:45:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,86,10,76,50+
1,75,2026-04-06,2026-04-06 12:30:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,113,37,76,50+
1,100,2026-04-01,2026-04-01 10:50:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,111,10,101,50+
1,100,2026-04-06,2026-04-06 14:35:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,138,37,101,50+
2,0,2026-03-26,2026-03-26 13:20:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,14,13,1,10-15
2,0,2026-03-31,2026-03-31 19:05:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,99,98,1,50+
2,0,2026-04-06,2026-04-06 06:15:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,38,37,1,35-40
2,0,2026-04-09,2026-04-09 18:35:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,9,3,6,5-10
2,0,2026-04-17,2026-04-17 02:40:00,GBPAUD_C,breakout_R_2_tp5.0_sl3.0,NZDAUD_C,breakout_R_2_tp5.0_sl3.0,6,5,1,5-10
2,0,2026-04-17,2026-04-17 03:25:00,NZDAUD_C,breakout_R_2_tp5.0_sl3.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,12,11,1,10-15
2,5,2026-03-26,2026-03-26 13:45:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,19,13,6,15-20
2,5,2026-03-31,2026-03-31 19:30:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,104,98,6,50+
2,5,2026-04-06,2026-04-06 06:40:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,43,37,6,40-45
2,5,2026-04-09,2026-04-09 18:35:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,9,3,6,5-10
2,5,2026-04-17,2026-04-17 03:05:00,GBPAUD_C,breakout_R_2_tp5.0_sl3.0,NZDAUD_C,breakout_R_2_tp5.0_sl3.0,11,5,6,10-15
2,5,2026-04-17,2026-04-17 03:50:00,NZDAUD_C,breakout_R_2_tp5.0_sl3.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,17,11,6,15-20
2,10,2026-03-26,2026-03-26 14:10:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,24,13,11,20-25
2,10,2026-03-31,2026-03-31 19:55:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,109,98,11,50+
2,10,2026-04-06,2026-04-06 07:05:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,48,37,11,45-50
2,10,2026-04-09,2026-04-09 19:00:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,14,3,11,10-15
2,15,2026-03-26,2026-03-26 14:35:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,29,13,16,25-30
2,15,2026-03-31,2026-03-31 20:20:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,114,98,16,50+
2,15,2026-04-06,2026-04-06 07:30:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,53,37,16,50+
2,20,2026-03-26,2026-03-26 15:00:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,34,13,21,30-35
